status_id,Date,text,relevant_ra
1321213326488150017,2020-10-27T00:00:00Z,the people who do mission trips &amp; take pics for their social media w impoverished african kids w the caption “missing my best friends” are the same people who say BLM is a terrorist org and actually think trump has done more for black people since lincoln (i don’t make the rules),0.0
1261448026339434496,2020-05-16T00:00:00Z,"What’s the point of a comprehensive Community Standards policy if you can’t enforce them?  Maharlika’s post with Kath’s picture undeniably violates the CS guidelines under Objectionable Content (Tier 2 Hate Speech) yet nothing has been done about it @Facebook.

#WeBlockAsOne https://t.co/ECwiHqNUEp",1.0
1280144723458441216,2020-07-06T00:00:00Z,"#AsimRiazBirthdayIn1Week
Guys my main account got suspended due to the striking from the enemy fandom one month before.

I want it back. Apart from adding phone number.what should I do to get it back.

Please help.
#AsimRiaz #AsimSquad #Asimians 
@IamAsimRiaz1 @_kritikaRao_ https://t.co/FO8QquEKuL",1.0
1274035505353691136,2020-06-19T00:00:00Z,"Katie Hopkins permanently suspended from Twitter for violating its hateful conduct policy, the social media giant says https://t.co/qUSkmfn6FM",1.0
1250275486200025091,2020-04-15T00:00:00Z,"""This is Federalism 101,"" said @BobbyChesney.  ""The president can advocate to his heart’s content, but he can’t actually commandeer the state governments to make them change their policies. He has no such inherent authority."" https://t.co/mSddsS8GG2",0.0
1217459195257278464,2020-01-15T00:00:00Z,"This is Mimi the blogger’s (@mdaixo__) mini breakdown on @stormzy since her account got suspended.

Stormzy - Being a Role Model Isn’t Always a Choice, the crown is indeed heavy: The Breakdown edition

Like, Share and Retweet! Let me know what you think.

https://t.co/yBo5MBuuAO",1.0
1278716765212680192,2020-07-02T00:00:00Z,"can you believe this? @elderofziyon account one of the best and fairest Israel advocates on social media has been suspended. is any more proof needed that @twitter is in the hands of extremist anti-Israel plo supporters? reinstate the account @twittersupport @jack 

#USA #Israel https://t.co/YRGdT38aML",1.0
1277874692129357825,2020-06-30T00:00:00Z,"Twitter is openly against US President.
Twitch posting Media suspended the account of Trump.
Hollywood and Pop celebrities are against him.

Media were obviously never in favour of Trump.

But trump is still enjoying support from country area and non-coastal states.

50-50 chance",1.0
1246818602038095872,2020-04-05T00:00:00Z,"Hello 
@Twitter @TwitterSupport
I've been following 
@VJ12301230
@endingandstart
@lTU12nsDXsSpLAN
@TAESUPREMACY
for a long time and I saw this account got suspended for no reason. The owner of this account never violated any of Twitter rules. Please bring back their account",1.0
1239555124076220416,2020-03-16T00:00:00Z,FOR GUIDANCE: Here are the guidelines under President Rodrigo Duterte's order for Enhanced Community Quarantine response to COVID-19. | via @edupunay https://t.co/zmi0zJcP4h,0.0
1216307547289915400,2020-01-12T00:00:00Z,These are a few pics from a photo gallery I just uploaded to https://t.co/XE3qokgxT3. They're from a short video that is FREE for you to view on the Homepage of the website. It was supposed to go on my https://t.co/cTLAa6Wuhs account which is still blocked. Check it out!  https://t.co/dG0C4MK7cU,0.0
1288323055857610752,2020-07-29T00:00:00Z,@bananaicepuff YEAH... im just hoping thats the extent of his actions and that it wont go any farther... its strange that on his other account his header is that someone blocked him and that he tweets about it too like .............,0.0
1289377862580080641,2020-08-01T00:00:00Z,"David Duke's account was suspended by Twitter. Trump has not commented, but it's reasonably safe to assume he wishes David well.",1.0
1316672327908638720,2020-10-15T00:00:00Z,@KamaCasino your team  blocked my account when my opponent play buff which is in my friend list in this what is my fault  please pay attention  account name :-evershine,0.0
1275251865517686784,2020-06-23T00:00:00Z,“The US president extended a ban on green card applications until the end of the year and suspended a range of “guest worker” visas that allow everyone from scientists and engineers to au pairs to work in the US.” https://t.co/cnzyRNZPRf,0.0
1241440892633976839,2020-03-21T00:00:00Z,"Stop complaining about Trump.  

Hold to account the Senators who refused to remove him while a fatal pandemic was allowed to spread and kill Americans.",0.0
1318158391299182594,2020-10-19T00:00:00Z,Facebook and Instagram have banned his account after shadowbanning proved ineffective. #freespeech @TeamSaveAmerica https://t.co/uXA38bHLrO,1.0
1261063670211268610,2020-05-14T00:00:00Z,So I called Chris Hay3s a fear mongering whore on March 27 and my account was suspended.,1.0
1267240220799438850,2020-05-31T00:00:00Z,"Hey lovelies! I’m sure most of you know @_etherealsouls , who is a amazing Artist and Person. Her account was suspended for sharing her opinions on BLM, which is simply unconstitutional. We have a chance to appeal this suspension, I will put the link down below.",1.0
1232641024771543042,2020-02-26T00:00:00Z,"@TheKenWeb The first cut of the platform is expected to come by August. Critics say it's at least one year away from completion. Today, drone services companies are making the rounds of DGCA to seek exemptions from the 2018 drone policy",0.0
1212243849285779456,2020-01-01T00:00:00Z,the decade is about to end so let's not forget the moment that shaped it  https://t.co/GjLNqtC7BH,0.0
1220910768587018240,2020-01-25T00:00:00Z,"Just let Addien be a normal twitter user who tweets normal stuff. He never branded himself as an ustaz pun, just someone who shares the knowledge that he knows. If you wanna benefit from it, it's free. If you hate to see it, mute or block. Let a man live fgs",0.0
1227301447815114755,2020-02-11T00:00:00Z,https://t.co/cVdWmyu5HN,0.0
1250598449197617152,2020-04-16T00:00:00Z,"I've said it before, I'll say it again: 
If you want your content to remain IN EXISTENCE, make sure you have local copies. I don't care how good you think a host is: they can and will delete it when they chance policies or go out of business or whatever. https://t.co/nOAVtLx9Qu",1.0
1296505898697981958,2020-08-20T00:00:00Z,"RW Sanghis supporting the abusive 'Hindustani Bhau' &amp; questioning the removal of his Instagram account tells you everything you need to ever know about the mindset of these people.

They are just sickos.

Remember, PM Modi follows handles that have given rape &amp; death threats.",1.0
1225827273774944257,2020-02-07T00:00:00Z,"""I’ll just say it this way: The fate of the world depends on the Democrats getting their shit together and winning in November. We have to beat Trump."" Carville has the rare gift of being able to speak in plainer English than most writers can write.
 https://t.co/HPvdytp3zR",0.0
